participant,F1,F2,F3,F4,F5,F6
123,29.0,43.0,17.0,19.0,25.0,15.0
124,37.0,56.0,22.0,17.0,37.0,19.0
125,32.0,47.0,23.0,18.0,29.0,18.0
126,35.0,46.0,12.0,21.0,31.0,19.0
127,31.0,49.0,20.0,17.0,32.0,20.0
128,32.0,53.0,22.0,16.0,30.0,19.0
129,29.0,51.0,14.0,13.0,31.0,17.0
130,35.0,51.0,23.0,24.0,35.0,18.0
131,39.0,58.0,22.0,19.0,32.0,23.0
132,38.0,57.0,22.0,18.0,34.0,24.0
133,31.0,48.0,18.0,18.0,28.0,12.0
134,31.0,54.0,17.0,19.0,31.0,13.0
135,39.0,51.0,22.0,22.0,32.0,19.0
136,37.0,59.0,13.0,21.0,32.0,21.0
137,34.0,44.0,15.0,10.0,30.0,17.0
138,33.0,52.0,20.0,21.0,32.0,23.0
139,34.0,52.0,21.0,13.0,36.0,23.0
140,30.0,49.0,18.0,16.0,29.0,18.0
141,34.0,58.0,20.0,22.0,28.0,20.0
142,38.0,54.0,21.0,16.0,35.0,20.0
143,36.0,49.0,16.0,16.0,27.0,22.0
144,39.0,50.0,23.0,16.0,33.0,20.0
145,37.0,49.0,13.0,20.0,29.0,18.0
146,37.0,50.0,13.0,14.0,35.0,22.0
147,33.0,51.0,20.0,16.0,29.0,19.0
148,30.0,52.0,15.0,16.0,30.0,16.0
149,35.0,55.0,18.0,23.0,28.0,21.0
150,38.0,59.0,28.0,24.0,29.0,21.0
151,40.0,58.0,9.0,25.0,34.0,17.0
152,33.0,49.0,22.0,13.0,35.0,17.0
153,27.0,51.0,21.0,20.0,34.0,17.0
154,40.0,55.0,24.0,19.0,34.0,19.0
155,27.0,46.0,21.0,16.0,29.0,17.0
156,39.0,54.0,24.0,25.0,36.0,24.0
157,40.0,57.0,22.0,16.0,32.0,24.0
158,34.0,50.0,15.0,20.0,32.0,18.0
159,26.0,48.0,12.0,16.0,26.0,14.0
160,31.0,51.0,22.0,17.0,28.0,18.0
161,32.0,48.0,22.0,20.0,32.0,18.0
162,33.0,47.0,23.0,14.0,28.0,17.0
163,35.0,51.0,25.0,22.0,29.0,22.0
164,37.0,57.0,24.0,19.0,33.0,24.0
165,38.0,57.0,9.0,21.0,32.0,23.0
166,33.0,51.0,21.0,17.0,30.0,13.0
167,30.0,47.0,22.0,17.0,31.0,18.0
168,38.0,53.0,20.0,15.0,32.0,18.0
169,35.0,49.0,20.0,20.0,27.0,17.0
170,39.0,59.0,27.0,23.0,38.0,23.0
171,35.0,57.0,18.0,15.0,33.0,22.0
172,40.0,57.0,26.0,21.0,33.0,20.0
173,30.0,56.0,19.0,16.0,34.0,21.0
174,36.0,55.0,20.0,21.0,38.0,20.0
175,38.0,59.0,24.0,20.0,26.0,22.0
176,33.0,54.0,21.0,16.0,32.0,16.0
177,39.0,57.0,25.0,22.0,32.0,17.0
178,32.0,45.0,22.0,15.0,34.0,16.0
179,36.0,54.0,22.0,19.0,31.0,21.0
180,36.0,57.0,23.0,23.0,34.0,16.0
181,39.0,57.0,25.0,23.0,32.0,20.0
182,35.0,48.0,20.0,16.0,35.0,16.0
183,36.0,48.0,20.0,16.0,33.0,17.0
184,33.0,48.0,9.0,18.0,30.0,22.0
185,39.0,59.0,13.0,24.0,24.0,20.0
186,39.0,54.0,25.0,22.0,28.0,19.0
187,37.0,53.0,23.0,18.0,33.0,15.0
188,36.0,56.0,23.0,21.0,32.0,21.0
189,35.0,57.0,23.0,18.0,29.0,18.0
190,37.0,58.0,15.0,20.0,30.0,19.0
191,33.0,60.0,22.0,23.0,37.0,22.0
192,32.0,55.0,25.0,15.0,36.0,22.0
193,33.0,55.0,22.0,16.0,32.0,19.0
194,28.0,56.0,18.0,20.0,31.0,17.0
195,32.0,47.0,15.0,16.0,28.0,18.0
196,34.0,50.0,22.0,20.0,25.0,23.0
197,36.0,56.0,24.0,19.0,30.0,21.0
198,35.0,47.0,21.0,14.0,29.0,19.0
199,34.0,54.0,21.0,20.0,27.0,21.0
200,33.0,52.0,21.0,20.0,29.0,14.0
201,31.0,52.0,20.0,18.0,25.0,19.0
202,30.0,49.0,20.0,20.0,33.0,18.0
203,39.0,60.0,24.0,22.0,34.0,22.0
204,37.0,57.0,30.0,19.0,28.0,14.0
205,39.0,44.0,16.0,18.0,31.0,18.0
206,34.0,48.0,22.0,16.0,31.0,16.0
207,38.0,59.0,12.0,15.0,28.0,22.0
208,31.0,52.0,24.0,18.0,34.0,19.0
209,37.0,52.0,24.0,17.0,30.0,16.0
